Continent,Location_of_incursion,Date_of_incursion,Year_of_incursion,Month_of_incursion,Species,Animal_details,Ownership_status,Vaccination,Age_class,Breed,Origin_continent,Location_origin_of_animal,Time_bet_incursion_and_symptoms,Type_of_incursion,Borders_crossed,Mode_of_travel,Incursion_details,Full_details,Seen_details,Seen_details1,Phylogenetic_analysis,Public_health_response,Local_transmission,Unusual_cs_transmission,ID_number,Study
Europe,Netherlands,Feb-12,2012,February,Dog,Owned (newly bought) unvaccinated 2-month-old puppy,Owned,Unvaccinated,3 months and below,,Africa,Morocco (via Spain),1 day,Human-mediated,"Intercontinental, international","By air, land/water (presumed)","Purchased in parking lot and illegally imported from Morocco to Amsterdam, Netherlands via Spain; examined at customs but pet passport and vaccination status not checked; stayed in passenger cabin of plane","Owned (newly bought) unvaccinated 2-month-old puppy; purchased in parking lot and illegally imported from Morocco to Amsterdam, Netherlands via Spain; examined at customs but pet passport and vaccination status not checked; stayed in passenger cabin of plane",Purchased in parking lot and illegally imported without vaccination; examined at customs but pet passport and vaccination status not checked; stayed in passenger cabin of plane,"Owned (newly bought) unvaccinated 2-month-old puppy; purchased in parking lot and illegally imported from Morocco to Amsterdam, Netherlands via Spain; examined at customs but pet passport and vaccination status not checked; stayed in passenger cabin of plane",No,"Contact tracing, PEP, (booster) vaccination of exposed animals (dogs), sacrifice of associated animals (cats) due to lack of available venue for quarantine",No local transmission,No,78,"Roberts and Lopez, 2012 (107); Van Rijckevorse et al., 2012 (108);  Ribadeau-Dumas, 2016 (50); Veda et al., 2021 (109); Alvarez et al., 2022 (51) "
Europe,Greece,Oct-12,2012,October,Red fox,,,,,,Europe,Republic of North Macedonia,,Natural,International (shared border),By land,"Incursion from Republic of North Macedonia into West Macedonia Region (Kozani Regional Unit), Greece; observed with symptoms by villagers; led to secondary transmission to 6 foxes and 2 dogs; spread attributed to neglect of ORV and lack of mountains","Incursion from Republic of North Macedonia into West Macedonia Region (Kozani Regional Unit), Greece; observed with symptoms by villagers; led to secondary transmission to 6 foxes and 2 dogs; spread attributed to neglect of ORV and lack of mountains",Seen exhibiting symptoms by villagers; led to secondary transmission to 6 foxes and 2 dogs; spread attributed to neglect of ORV and lack of mountains,"Incursion into West Macedonia Region (Kozani Regional Unit), Greece; observed with symptoms by villagers; led to secondary transmission to 6 foxes and 2 dogs; spread attributed to neglect of ORV and lack of mountains",No,"ORV, improved passive surveillance,  mandatory pet vaccination, increased public awareness ",Secondary transmission,Yes,79,"Tsiodras et al., 2013 (110); Tsiodras et al., 2014 (111);  Giannakopoulos et al., 2016 (112); Rupprecht et al., 2020 (31);  Lojkić et al., 2021 (94)"
Europe,Spain,Jun-13,2013,June,Dog,"Owned, recently vaccinated 4-year-old",Owned,Recently vaccinated,Adult,,Africa,Morocco,2 months,Human-mediated,Intercontinental,"By land, air/water (presumed)","Attempted importation to Morocco 4 months prior but denied due to lack of serology test; transported from Spain to Morocco by owner immediately after vaccination; illegally imported (suspected entry point through Ceuta) back to Argés, Toledo, Castilla-La; owners did not have permanent home and were living in van; escaped, attacked 5 humans and died, resulting in loss of rabies-free status in Spain for 6 months; owners fined for not disclosing all information","Owned, recently vaccinated 4-year-old; attempted importation to Morocco 4 months prior but denied due to lack of serology test; transported from Spain to Morocco by owner immediately after vaccination; illegally imported (suspected entry point through Ceuta) back to Argés, Toledo, Castilla-La; owners did not have permanent home and were living in van; escaped, attacked 5 humans and died, resulting in loss of rabies-free status in Spain for 6 months; owners fined for not disclosing all information","Attempted importation to Morocco 4 months prior but denied due to lack of serology test; illegally imported through Ceuta immediately after vaccination; later escaped, attacked 5 humans and died, resulting in loss of rabies-free status in Spain for 6 months; owners fined for not disclosing all information","Owned, recently vaccinated 4-year-old; attempted importation to Morocco 4 months prior but denied due to lack of serology test; transported from Spain to Morocco by owner immediately after vaccination; illegally imported (suspected entry point through Ceuta) back to Argés, Toledo, Castilla-La; owners did not have permanent home and were living in van; escaped, attacked 5 humans and died, resulting in loss of rabies-free status in Spain for 6 months; owners fined for not disclosing all information",No,"Contact tracing, PEP, mandatory pet vaccination (animals in Castilla-La Mancha restriction area), serology of all exposed dogs,  sacrifice of associated animals (dog with insufficient antibodies according to serology), restricted animal movement ",No local transmission,No,80,"Suarez-Rodriguez at al., 2013 (113); Pérez de Diego et al., 2015 (114);  Ribadeau-Dumas, 2016 (50); Veda et al., 2021 (109); Alvarez et al., 2022 (51)"
Europe,France,Oct-13,2013,October,Cat,"Owned (newly adopted), unvaccinated 2-month-old kitten",Owned,Unvaccinated,3 months and below,,Africa,Morocco,11 days,Human-mediated,Intercontinental,By air,"Imported from Morocco  to Val d'Oise, France with certificate of good health despite not meeting qualifications for importation; escaped home and was adopted twice by different owners","Owned (newly adopted), unvaccinated 2-month-old kitten; imported to Val d'Oise, France with certificate of good health despite not meeting qualifications for importation; escaped home and was adopted twice by different owners",Imported with certificate of good health despite not meeting qualifications for importation (no vaccination); escaped home and was adopted twice by different owners,"Owned (newly adopted), unvaccinated 2-month-old kitten; imported from Morocco to Val d'Oise, France with certificate of good health despite not meeting qualifications for importation; escaped home and was adopted twice by different owners",No,"Contact tracing, PEP, monitoring of vaccinated animals, sacrifice of associated animals (non-vaccinated), restricted movement of pets, increased surveillance",No local transmission,No,81,"Veterinary Record, 2013 (115);  Ribadeau-Dumas, 2016 (50)"
Europe,Slovakia,2013,2013,,"Dog, fox, marten","2 dogs, 4 foxes, 1 marten",,,,,Europe,Poland,,Natural,International (shared border),By land,Incursion from Poland into Slovakia despite ORV,Incursion from Poland into Slovakia despite ORV,Incursion despite ORV,Incursion despite ORV,No,ORV (continued),No local transmission,No,82,"Ondrejková et al., 2020 (116)"
Europe,France,May-15,2015,May,Dog,"Owned, unvaccinated 7-month-old",Owned,Unvaccinated,Juvenile,,Europe,Algeria,9 days,Human-mediated,International,By air/land (presumed),"Illegally imported from Hungary to Loire, Rhone-Alpes region, France as a puppy without fulfilling travel requirements (vaccination, identification, underage); brought to Algeria 4 months later by owners despite surveillance orders, escaped for a period; manifested symptoms after return to France and had direct contact with 9 humans and 1 dog ","Owned, unvaccinated 7-month-old; illegally imported from Hungary to Loire, Rhone-Alpes region, France as a puppy without fulfilling travel requirements (vaccination, identification, underage); brought to Algeria 4 months later by owners despite surveillance orders, escaped for a period; manifested symptoms after return to France and had direct contact with 9 humans and 1 dog ","Illegally imported without fulfilling travel requirements (no vaccination, no identification, underage); brought to Algeria 4 months later by owners despite surveillance orders, escaped for a period; manifested symptoms upon return and had direct contact with 9 humans and 1 dog ","Owned, unvaccinated 7-month-old; illegally imported from Hungary to Loire, Rhone-Alpes region, France as a puppy without fulfilling travel requirements (vaccination, identification, underage); brought to Algeria 4 months later by owners despite surveillance orders, escaped for a period; manifested symptoms after return to France and had direct contact with 9 humans and 1 dog ",No,"Contact tracing, PEP, sacrifice of associated animals (unvaccinated), monitoring of vaccinated animals (dogs) for 6 months, catching of stray animals, restricted movement of pets,  increased surveillance",No local transmission,No,83,"European Food Safety Authority and European Centre for Disease Prevention and Control, 2015 (117); Veterinary Record, (2015) (118); Veda et al., 2021 (109); Alvarez et al., 2022 (51)"
Europe,Slovakia,2015,2015,,Fox,5 foxes,,,,,Europe,Poland,,Natural,International (shared border),By land,,,,,No,ORV,No local transmission,No,84,"Ondrejková et al., 2020 (116)"
Europe,United Kingdom,Jan-20,2020,January,Sable,Owned,Owned,,,,Europe,Russia (via Italy),,Human-mediated,International,By air (presumed),"Imported from Russia to Riverstick, Ireland","Owned; imported from Russia to Riverstick, Ireland",Imported,"Owned; imported to Riverstick, Ireland",No,,No local transmission,No,85,"European Food Safety Authority and European Centre for Disease Prevention and Control, 2021 (119)"
Europe,France,Feb-20,2020,February,Dog,"Owned, unvaccinated 3-month-old puppy",Owned,Unvaccinated,3 months and below,,Africa,Morocco,,Human-mediated,Intercontinental,By air/water (presumed),Illegal importation from Morocco to France,"Owned, unvaccinated, 3-month-old puppy; illegal importation from Morocco to France",Illegally imported (no vaccination),"Owned, unvaccinated, 3-month-old puppy; illegal importation",No,PEP,No local transmission,No,86,"Bacigalupo et al., 2022 (120); European Food Safety Authority and European Centre for Disease Prevention and Control, 2021 (119); Veda et al., 2021 (109); Alvarez et al., 2022 (51)"
Europe,Poland,Jan-21,2021,January,Fox,,,,,,Europe,Belarus or Ukraine,,Natural,International (shared border),By land,"Incursion from Belarus into farmyard in Izabela, Otwock, Mazowieckie voivoideship; observed to be ‘sick’, killed by dog; spread facilitated by limitation of ORV to borders only ","Incursion from Belarus into farmyard in Izabela, Otwock, Mazowieckie voivoideship; observed to be ‘sick’, killed by dog; spread facilitated by limitation of ORV to borders only ","Observed to be ‘sick’, killed by dog; spread facilitated by limitation of ORV to borders only ","Incursion into farmyard in Izabela, Otwock, Mazowieckie voivoideship. Poland; observed to be ‘sick’, killed by dog; spread facilitated by limitation of ORV to borders only ",No,"Increased public awareness, increased rabies surveillance, hunting ban, cancellation of pet-centric events, mandatory leashing of dogs, emergency ORV",No local transmission,No,87,"Smreczak et al., 2023 (121)"
Europe,Germany,Jul-21,2021,July,Dog,"Owned, unvaccinated, 2-month-old puppy ",Owned,Unvaccinated,3 months and below,,Asia,Republic of Türkiye (via Bulgaria),11 days,Human-mediated,"Intercontinental, international",By air (presumed),"Illegally imported from Turkey to Lower Saxony, Germany","Owned, unvaccinated, 2-month-old puppy; illegally imported from Turkey to Lower Saxony, Germany",Illegally imported (no vaccination),"Owned, unvaccinated, 2-month-old puppy; illegally imported to Lower Saxony, Germany",No,"Contact tracing, PEP",No local transmission,No,88,"Alvarez et al., 2022 (51); European Food Safety Authority and European Centre for Disease Prevention and Control, 2022 (122)"
Europe,France,Oct-22,2022,October,Dog,"Owned, 4-year-old",Owned,,Adult,,Europe,Morocco,,Human-mediated,Intercontinental,By air/water (presumed),"Suspected illegal importation from Morocco to shelter in Évry-Courcouronnes, Essonne, Île-de France region, France; bit several humans","Owned, 4-year-old; Suspected illegal importation from Morocco to shelter in Évry-Courcouronnes, Essonne, Île-de France region, France; bit several humans",Suspected to be illegally imported to shelter; bit several humans,"Owned, 4-year-old; Suspected illegal importation to shelter in Évry-Courcouronnes, Essonne, Île-de France region, France; bit several humans",No,"Contact tracing, PEP, monitoring of shelter",No local transmission,No,89,"Bacigalupo et al., 2022 (120)"
North America,United States of America,2001,2001,,Raccoon,,,,,,North America,United States of America,,Natural,In-country,By land,"Incursion from Pennsylvania into Ohio, USA despite immune corridor from ORV; attributed to weakened surveillance","Incursion from Pennsylvania into Ohio, USA despite immune corridor from ORV; attributed to weakened surveillance",Incursion from Pennsylvania into Ohio despite immune corridor from ORV; attributed to weakened surveillance,Incursion from Pennsylvania into Ohio despite immune corridor from ORV; attributed to weakened surveillance,No,ORV (expanded),No local transmission,No,90,"Krebs et al., 2002 (123)"
North America,Canada,Dec-02,2002,December,Arctic fox,,,,,,Europe,Greenland,,Natural,Intercontinental,By water (frozen),"Incursion from Greenland into Newfoundland, Canada by crossing through packed ice during winter, indicated by phylogenetic analysis","Incursion from Greenland into Newfoundland, Canada by crossing through packed ice during winter, indicated by phylogenetic analysis",Incursion by crossing through packed ice during winter,"Incursion from Greenland into Newfoundland, Canada by crossing through packed ice during winter, indicated by phylogenetic analysis",Yes,,No local transmission,No,91,"Nadin-Davis et al., 2008 (124)"
North America,Canada,2002,2002,,Fox,2 foxes,,,,,North America,Canada,,Natural,In-country,By water (frozen),"Incursion from mainland Labrador to Cartwright, Labrador by crossing through packed ice; overlap with red fox populations facilitated spread in arctic foxes","Incursion from mainland Labrador to Cartwright, Labrador by crossing through packed ice; overlap with red fox populations facilitated spread in arctic foxes","Incursion from mainland to Cartwright, Labrador by crossing through packed ice; overlap with red fox populations facilitated spread in arctic foxes","Incursion from mainland Labrador to Cartwright, Labrador by crossing through packed ice; overlap with red fox populations facilitated spread in arctic foxes",No,,No local transmission,No,92,"Nadin-Davis et al., 2008 (124)"
North America,United States of America,2003,2003,,Dog,Owned,Owned,,,,North America,United States of America,,Human-mediated,In-country,By air,"Imported from Puerto Rico into Massachusetts, USA","Owned; imported from Puerto Rico into Massachusetts, USA",Imported,Owned; imported into Massachusetts,No,PEP,No local transmission,No,93,"Lankau et al., 2014 (125)"
North America,United States of America,Mar-04,2004,March,Dog,,,,,,North America,Mexico,,Natural,International (shared border),By land,"Incursion from Mexico into Webb County, Texas, USA","Incursion from Mexico into Webb County, Texas, USA",,"Incursion into Webb County, Texas",No,"Mass dog vaccination, ORV, monitoring",No local transmission,No,94,"Blanton et al., 2007 (53)"
North America,United States of America,Jun-04,2004,June,Dog,Owned (newly adopted) unvaccinated 3-month old puppy ,Owned,Unvaccinated,3 months and below,,Asia,Thailand,2 days,Human-mediated,Intercontinental,By air,"Imported from Thailand to Los Angeles, California, USA; given health certificate despite history of respiratory illness; stayed in passenger cabin","Owned (newly adopted) unvaccinated 3-month old puppy; imported from Thailand to Los Angeles, California, USA; given health certificate despite history of respiratory illness; stayed in passenger cabin",newly adopted and imported without vaccination; given health certificate despite history of respiratory illness; stayed in passenger cabin,"Owned (newly adopted) unvaccinated 3-month old puppy; imported to Los Angeles, California; given health certificate despite history of respiratory illness; stayed in passenger cabin",No,"Contact tracing, PEP",No local transmission,No,95,"Castrodale et al., 2008 (126);  McQuiston, 2008 (3); Ehnert & Galland, 2009 (4);  Lankau et al., 2014 (125) "
North America,United States of America,Jul-04,2004,July,Raccoon,,,,,,North America,United States of America,,Natural,In-country,By land,"Suspected incursion from mid-Atlantic state to Ohio, USA (although phylogenetic analysis indicates earlier occurrence); detected despite weakened surveillance, limited testing","Suspected incursion from mid-Atlantic state to Ohio, USA (although phylogenetic analysis indicates earlier occurrence); detected despite weakened surveillance, limited testing","Suspected incursion from mid-Atlantic state to Ohio; detected despite weakened surveillance, limited testing","Suspected incursion from mid-Atlantic state to Ohio (although phylogenetic analysis indicates earlier occurrence); detected despite weakened surveillance, limited testing",Yes,"ORV, enhanced surveillance",No local transmission,No,96,"Russell et al., 2005 (127); Henderson et al., 2008 (128);  Slate et al., 2008 (129)"
North America,United States of America,2004,2004,,Raccoon,,,,,,North America,United States of America,,Natural,In-country,By land,"Incursion into Barnstable, Cape Cod from nearby areas in Massachusetts; crossed vaccine barrier, resulting in epizootic ","Incursion into Barnstable, Cape Cod from nearby areas in Massachusetts; crossed vaccine barrier, resulting in epizootic ","Incursion into Cape Cod from nearby areas; crossed vaccine barrier, resulting in epizootic ","Incursion into Barnstable, Cape Cod from nearby areas in Massachusetts; crossed vaccine barrier, resulting in epizootic ",No,,No local transmission,No,97,"Wang et al., 2009 (130)"
North America,United States of America,Feb-06,2006,February,Red fox,Roadkill,,,,,North America,United States of America,,Natural,In-country,By land,"Incursion from mid-Atlantic state to Tennessee; found during enhanced surveillance in non-ORV area; suspected infection by raccoon, indicated by phylogenetic analysis; ORV not recommended, considered ‘waste of resources’","Incursion from mid-Atlantic state to Tennessee; found during enhanced surveillance in non-ORV area; suspected infection by raccoon, indicated by phylogenetic analysis; ORV not recommended, considered ‘waste of resources’","Incursion from mid-Atlantic state to Tennessee; found during enhanced surveillance in non-ORV area; suspected infection by raccoon; ORV not recommended, considered ‘waste of resources’","Incursion from mid-Atlantic state to Tennessee; found during enhanced surveillance in non-ORV area; suspected infection by raccoon, indicated by phylogenetic analysis; ORV not recommended, considered ‘waste of resources’",Yes,Enhanced surveillance (increased sampling),No local transmission,No,98,"Slate et al., 2008 (129)"
North America,Canada,Jun-06,2006,June,Raccoon,Roadkill,,,,,North America,United States of America,,Natural,International (shared border),By land,"Incursion from Vermont to Monteregie region, Dunham, Brome-Missisquoi, Quebec, Canada","Incursion from Vermont to Monteregie region, Dunham, Brome-Missisquoi, Quebec, Canada",,"Incursion from Vermont to Monteregie region, Dunham, Brome-Missisquoi, Quebec, Canada",,ORV,No local transmission,No,99,"Shwiff et al., 2013 (131); Stevenson et al., 2016 (132); Trewby et al., 2017 (133);  Nadin-Davis, 2018 (134); Nadin-Davis et al., 2020 (135)"
North America,United States of America,Mar-07,2007,March,Dog,"Owned (newly adopted), unvaccinated 11-week-old puppy",Owned,Unvaccinated,3 months and below,,Asia,India,2 days,Human-mediated,"Intercontinental, in-country",By air,"Imported from New Delhi, India to Seattle, Washington by volunteer veterinarian; given to 2nd veterinarian; despite symptoms and biting history (veterinarian owner, dog), health certificate obtained from 3rd veterinarian for travel to Juneau, Alaska","Owned (newly adopted), unvaccinated 11-week-old puppy; imported from New Delhi, India to Seattle, Washington by volunteer veterinarian; given to 2nd veterinarian; despite symptoms and biting history (veterinarian owner, dog), health certificate obtained from 3rd veterinarian for travel to Juneau, Alaska","Newly adopted before importation by volunteer veterinarian; no vaccination; given to 2nd veterinarian; despite symptoms and biting history (veterinarian owner, dog), health certificate obtained from 3rd veterinarian for travel","Owned (newly adopted), unvaccinated 11-week-old puppy; imported from New Delhi, India to Seattle, Washington by volunteer veterinarian; given to 2nd veterinarian; despite symptoms and biting history (veterinarian owner, dog), health certificate obtained from 3rd veterinarian for travel to Juneau, Alaska",No,"PEP, contact tracing, sacrifice of associated pets (dog)",No local transmission,No,100,"Blanton et al., 2008 (136); Castrodale et al., 2008 (126); Ehnert & Galland, 2009 (4); Lankau et al., 2014 (125)"
North America,United States of America,2008,2008,,Dog,"Owned, free-roaming, recently vaccinated 11-month-old",Owned,Recently vaccinated,Juvenile,,Asia,Iraq,3 days,Human-mediated,Intercontinental,By air,"Adopted by soldier and kept on military base for 7 months before vaccination and importation; transported with >20 dogs with no vaccination certificates;   to New Jersey, USA, leading to 30-day quarantine for all animals; diagnosed in quarantine centre","Owned, free-roaming, recently vaccinated 11-month-old; adopted by soldier and kept on military base for 7 months before vaccination and importation; transported with >20 dogs with no vaccination certificates to New Jersey, USA, leading to 30-day quarantine for all animals; diagnosed in quarantine centre","Adopted by soldier and kept on military base for 7 months before importation; transported with >20 dogs with no vaccination certificates, leading to 30-day quarantine for all animals; diagnosed in quarantine centre","Owned, free-roaming, recently vaccinated 11-month-old; adopted by soldier and kept on military base for 7 months before vaccination and importation; transported with >20 dogs with no vaccination certificates to New Jersey, USA, leading to 30-day quarantine for all animals; diagnosed in quarantine centre",No,"Contact tracing, PEP, vaccination of associated animals (dogs, cat); 6-month quarantine of exposed animals (dogs, cat)",No local transmission,No,101,"Mangieri et al., 2008 (137); Lankau et al., 2014 (125); Hercules et al., 2018 (138)"
North America,United States of America,Jan-10,2010,January,Cow,"Owned, presumed unvaccinated",Owned,Unvaccinated,,,North America,Mexico,5 months,Human-mediated,International (shared border),By land,"Imported from Mexico to Texas, USA without documentation; suspected infection by vampire bat, indicated by phylogenetic analysis","Owned, presumed unvaccinated; imported from Mexico to Texas, USA without documentation; suspected infection by vampire bat, indicated by phylogenetic analysis",Imported without documentation; presumed unvaccinated suspected infection by vampire bat,"Owned, presumed unvaccinated; imported from Mexico to Texas, USA without documentation; suspected infection by vampire bat, indicated by phylogenetic analysis",Yes,,No local transmission,No,102,"Blanton et al., 2011 (139); Pieracci et al., 2020 (140)"
North America,United States of America,Jan-13,2013,January,Raccoon,,,,,,North America,United States of America,,Natural,In-country,By land,Incursion from mainland Georgia to Jekyll Island by crossing bridge;  associated with 2013 - 2017 epizootic,Incursion from mainland Georgia to Jekyll Island by crossing bridge;  associated with 2013 - 2017 epizootic,Incursion from mainland Georgia to Jekyll Island by crossing bridge;  associated with 2013 - 2017 epizootic,Incursion from mainland Georgia to Jekyll Island by crossing bridge;  associated with 2013 - 2017 epizootic,No,,No local transmission,No,103,"Ortiz et al., 2018 (100)"
North America,Canada,Jul-13,2013,July,Dog,Owned (newly adopted) unvaccinated 5-month-old husky ,Owned,Unvaccinated,Juvenile,Husky,North America,Canada,1 month,Human-mediated,In-country,By air,"Found in area with ongoing outbreak, scavenging for food with other dogs (mother and newborn litter); imported from Nunavut, Quebec to Calgary, Alberta with layover in Edmonton; no vaccination requirement for in-country travel; suspected infection by arctic fox, indicated by phylogenetic analysis ","Owned (newly adopted), unvaccinated 5-month-old husky; found in area with ongoing outbreak, scavenging for food with   other dogs (mother and newborn litter); imported from Nunavut, Quebec to Calgary, Alberta with layover in Edmonton; no vaccination requirement for in-country travel; suspected infection by arctic fox, indicated by phylogenetic analysis ","Found in area with ongoing outbreak, scavenging for food with other dogs (mother and newborn litter); not vaccinated before importation due to no vaccination requirement for in-country travel; suspected infection by arctic fox","Owned (newly adopted), unvaccinated 5-month-old husky; found in area with ongoing outbreak, scavenging for food with   other dogs (mother and newborn litter); imported from Nunavut, Quebec to Calgary, Alberta with layover in Edmonton; no vaccination requirement for in-country travel; suspected infection by arctic fox, indicated by phylogenetic analysis ",Yes,"PEP, quarantine of exposed animals (mother and litter dogs), sacrifice of associated animals (dog negative for rabies but euthanized at request of owner)",Outbreak,Yes,104,"Curry et al., 2016 (141)"
North America,Canada,Dec-14,2014,December,Dog,"Owned, unvaccinated <1 year- old ",Owned,Unvaccinated,Juvenile,,North America,Canada,0 days,Human-mediated,In-country,"By air, land","Found in construction work camp in Nunavut, Quebec and imported to Edmonton with layover in Yellowknife, Northwest Territories; further travel by car to Saskatoon Health Region, Saskatchewan; no vaccination requirement for in-country travel; manifested symptoms during travel and bit owner; suspected infection by arctic fox, indicated by phylogenetic analysis ","Owned, unvaccinated <1 year-old; found in construction work camp in Nunavut, Quebec and imported to Edmonton with layover in Yellowknife, Northwest Territories; further travel by car to Saskatoon Health Region, Saskatchewan; no vaccination requirement for in-country travel; manifested symptoms during travel and bit owner; suspected infection by arctic fox, indicated by phylogenetic analysis ",Found in construction work camp; not vaccinated before importation due to no vaccination requirement for in-country travel; manifested symptoms during travel and bit owner; suspected infection by arctic fox,"Owned, unvaccinated <1 year-old; found in construction work camp in Nunavut, Quebec and imported to Edmonton with layover in Yellowknife, Northwest Territories; further travel by car to Saskatoon Health Region, Saskatchewan; no vaccination requirement for in-country travel; manifested symptoms during travel and bit owner; suspected infection by arctic fox, indicated by phylogenetic analysis ",Yes,"PEP, vaccination of exposed animal (dog), 45-day quarantine of exposed animal (dog)",No local transmission,No,105,"Curry et al., 2016 (141)"
North America,United States of America,May-15,2015,May,Dog,"Owned (newly adopted), presumed vaccinated adult female with 1 puppy",Owned,Vaccinated,Adult,"Owned (newly adopted), presumed vaccinated adult female with 1 puppy",Africa,Egypt,4 days,Human-mediated,Intercontinental,By air,"Found on street in Cairo, Egypt and imported to Virginia, USA by animal rescue organization along with >30 pets (dogs, cats) despite fracture injury; transported in same crate with own puppy; falsified vaccination certificate ","Owned (newly adopted), presumed vaccinated adult female with 1 puppy; found on street in Cairo, Egypt and imported to Virginia, USA by animal rescue organization along with >30 pets (dogs, cats) despite fracture injury; transported in same crate with own puppy; falsified vaccination certificate ","Found on street and imported by animal rescue organization along with >30 pets (dogs, cats) despite fracture injury; transported in same crate with own puppy; falsified vaccination certificate","Owned (newly adopted), presumed vaccinated adult female with 1 puppy; found on street in Cairo, Egypt and imported to Virginia, USA by animal rescue organization along with >30 pets (dogs, cats) despite fracture injury; transported in same crate with own puppy; falsified vaccination certificate ",No,"Contact tracing, PEP, vaccination of exposed animals (puppy, booster for vaccinated dogs), quarantine of exposed dogs (puppy)",No local transmission,No,106,"Sinclair et al., 2015 (142); Pieracci et al., 2020 (140); Latzer et al., 2022 (143)"
North America,Canada,Dec-15,2015,December,Raccoon,,,,,,North America,United States of America,,Human-mediated,International (shared border),By land/water (presumed),"Suspected long-distance incursion from New York, USA into Hamilton, Ontario, Canada by stowing away on truck or ship; picked up by animal control along with 2 dogs; escaped cage and fought with dog; resulted in outbreak (>400 animals)","Suspected long-distance incursion from New York, USA into Hamilton, Ontario, Canada by stowing away on truck or ship; picked up by animal control along with 2 dogs; escaped cage and fought with dog; resulted in outbreak (>400 animals)",Suspected long-distance incursion by stowing away on truck or ship; picked up by animal control along with 2 dogs; escaped cage and fought with dog; resulted in outbreak (>400 animals),"Suspected long-distance incursion from New York, USA into Hamilton, Ontario, Canada by stowing away on truck or ship; picked up by animal control along with 2 dogs; escaped cage and fought with dog; resulted in outbreak (>400 animals)",No,"PEP, mass vaccination, ORV, enhanced surveillance (increased testing of sick animals), increased public awareness ",Outbreak,Yes,107,"Stevenson et al., 2016 (132); Trewby et al., 2017 (133);  Lobo et al., 2018 (144);  Gilbert & Chipman, 2020 (145); Nadin-Davis et al., 2020 (135)"
North America,Canada,2015,2015,,Raccoon,,,,,,North America,United States of America,,Natural,International (shared border),By land,"Suspected incursion from New York, USA into Mohawk Nation, Akwesasne, Quebec, Canada indicated by phylogenetic analysis","Suspected incursion from New York, USA into Mohawk Nation, Akwesasne, Quebec, Canada indicated by phylogenetic analysis",,"Suspected incursion from New York, USA into Mohawk Nation, Akwesasne, Quebec, Canada indicated by phylogenetic analysis",Yes,,No local transmission,No,108,"Birhane et al., 2017 (146); Trewby et al., 2017 (133); Nadin-Davis et al., 2020 (135)"
North America,Canada,2015,2015,,Raccoon,,,,,,North America,United States of America,,Natural,International (shared border),By land,"Suspected incursion from Maine, USA into New Brunswick, Canada (although phylogenetic analysis indicates earlier occurrence)","Suspected incursion from Maine, USA into New Brunswick, Canada (although phylogenetic analysis indicates earlier occurrence)",,"Suspected incursion from Maine, USA into New Brunswick, Canada (although phylogenetic analysis indicates earlier occurrence)",Yes,,No local transmission,No,109,"Trewby et al., 2017 (133)"
North America,United States of America,Mar-16,2016,March,Raccoon,,,,,,North America,United States of America,,Human-mediated,In-country,By land,"Suspected human-mediated incursion from Connecticut into Hicksville, Nassau County, Long Island, New York indicated by phylogenetic analysis","Suspected human-mediated incursion from Connecticut into Hicksville, Nassau County, Long Island, New York indicated by phylogenetic analysis",Suspected human-mediated incursion from Connecticut into New York,"Suspected human-mediated incursion from Connecticut into Hicksville, Nassau County, Long Island, New York indicated by phylogenetic analysis",Yes,"Enhanced surveillance, increased public awareness ",No local transmission,No,110,"Brunt et al., 2020 (147)"
North America,United States of America,Dec-16,2016,December,Cat,"Owned, unvaccinated",Owned,Unvaccinated,,,North America,United States of America,,Human-mediated,In-country,By air/land (presumed),"Imported from Ames, Iowa to Johnsonville, New York for vacation; attacked 1 dog, 3 humans; suspected infection by skunk indicated by phylogenetic analysis","Owned, unvaccinated; imported from Ames, Iowa to Johnsonville, New York for vacation; attacked 1 dog, 3 humans; suspected infection by skunk indicated by phylogenetic analysis","Imported from Iowa to New York for vacation without vaccination; attacked 1 dog, 3 humans; suspected infection by skunk","Owned, unvaccinated; imported from Ames, Iowa to Johnsonville, New York for vacation; attacked 1 dog, 3 humans; suspected infection by skunk indicated by phylogenetic analysis",Yes,,No local transmission,No,111,"Brunt et al., 2021 (148)"
North America,United States of America,Dec-16,2016,December,Otter,,,,,,North America,United States of America,,Natural,In-country,By water,"Suspected incursion from Connecticut into Sound Beach, Suffolk County, New York indicated by phylogenetic analysis","Suspected incursion from Connecticut into Sound Beach, Suffolk County, New York indicated by phylogenetic analysis",Suspected incursion from Connecticut into New York,"Suspected incursion from Connecticut into Sound Beach, Suffolk County, New York indicated by phylogenetic analysis",Yes,,No local transmission,No,112,"Brunt et al., 2020 (147)"
